



"Durchlauf";"LuceneVersion";"ElasticVersion";"Indexname";"ReplicaAnzahl";"Gesamtanzahl Shards des Index";"Gesamtanzahl Shards";"Erfolgreiche Shards";"Fehlgeschlagene Shards";"Uebersprungene Shards";"Anzahl der ReducePhasen";"Queryname";"BuildRequest (ms)";"Zeit nach der Response (ms)";"Zeit nach der Ergebnisausgabe (ms)";"Zeit allein für die Ausfuehrung (ms)";"Zeit durch ES gemessen (ms)";
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";111;604;626;493;37;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;217;217;217;0;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";1;212;212;211;40;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;86;86;86;45;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;221;221;221;26;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;172;172;172;44;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";1;167;167;166;28;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";0;516;516;516;323;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;98;98;98;46;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";1;214;214;213;48;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";1;190;190;189;36;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;344;344;344;0;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";1;59;59;58;12;
0;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";2;174;174;172;55;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";0;241;241;241;29;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;181;181;181;0;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;228;228;228;48;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;92;92;92;43;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;185;185;185;23;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";1;209;209;208;40;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";1;180;180;179;28;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";0;473;473;473;294;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;94;94;94;44;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";0;195;195;195;39;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;189;189;189;37;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;269;269;269;0;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";1;62;62;61;17;
1;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";1;120;120;119;75;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";1;188;188;187;28;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;175;175;175;0;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;164;164;164;40;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;93;93;93;44;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;155;155;155;24;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;194;194;194;48;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";0;218;218;218;31;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";0;490;490;490;288;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";1;93;93;92;45;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";0;191;191;191;36;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;194;194;194;37;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;284;284;284;0;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;51;51;51;12;
2;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";0;110;111;110;58;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";1;192;192;191;28;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;169;169;169;0;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;182;182;182;39;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;79;79;79;41;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;194;194;194;31;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;216;216;216;40;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";1;155;155;154;31;
